-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 04/15/2026 in LST
Location: latitude  34.1623   longitude 90.6141 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 5174.24 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,DOY,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN,PS
2000,1,-19.28,-11.79,-24.09,69.55,0.0,4.71,8.53,1.21,53.71
2000,2,-18.73,-9.24,-25.22,58.72,0.0,6.76,10.13,3.69,53.63
2000,3,-18.46,-9.47,-25.5,57.3,0.0,6.36,9.73,4.44,53.45
2000,4,-18.48,-9.8,-24.83,52.22,0.0,7.59,12.78,5.02,53.47
2000,5,-18.6,-9.24,-25.51,49.29,0.0,5.6,9.24,3.62,53.52
2000,6,-18.08,-9.66,-23.21,44.48,0.0,3.82,5.51,2.58,53.43
2000,7,-19.07,-10.76,-26.94,56.77,0.0,6.41,10.56,4.75,53.23
2000,8,-17.86,-10.93,-24.59,80.9,0.0,5.5,8.77,3.64,53.13
2000,9,-16.75,-11.89,-20.22,74.78,0.22,7.62,12.69,4.83,52.89
2000,10,-16.81,-14.17,-20.54,67.09,0.54,8.05,11.71,5.37,52.83
2000,11,-17.67,-11.83,-23.43,54.39,0.0,9.62,14.34,5.27,53.1
2000,12,-16.89,-10.81,-21.31,69.92,0.05,8.63,12.66,4.81,53.23
2000,13,-17.49,-12.03,-21.36,71.66,0.66,8.86,12.75,6.29,52.98
2000,14,-17.54,-13.54,-20.85,64.95,0.97,8.43,13.35,4.48,52.68
2000,15,-20.76,-14.03,-26.33,60.48,0.04,9.59,15.64,4.41,52.64
2000,16,-22.66,-16.76,-28.11,52.7,0.0,8.91,12.42,5.7,52.87
2000,17,-23.45,-16.09,-29.54,50.03,0.0,8.14,15.09,4.32,53.15
2000,18,-20.28,-11.38,-28.2,59.31,0.0,9.01,14.46,6.0,53.6
2000,19,-17.42,-9.38,-25.01,69.42,0.03,6.91,11.21,3.69,53.12
2000,20,-18.16,-14.41,-23.08,77.03,0.5,6.3,9.41,4.88,52.62
2000,21,-20.82,-13.23,-28.08,51.29,0.03,7.34,11.37,4.62,53.01
2000,22,-20.1,-12.95,-26.0,50.23,0.0,6.19,8.88,3.65,52.92
2000,23,-21.12,-15.03,-26.14,65.48,0.06,5.63,8.63,2.41,53.02
2000,24,-21.22,-13.73,-26.7,67.05,0.12,5.2,9.53,2.69,53.15
2000,25,-20.63,-13.39,-27.35,57.6,0.0,4.46,8.83,2.29,53.38
2000,26,-19.08,-11.14,-26.11,56.93,0.0,5.48,10.46,2.39,53.42
2000,27,-19.41,-13.59,-23.68,71.42,0.05,5.13,8.67,3.15,53.17
2000,28,-20.11,-13.79,-27.02,60.55,0.0,3.9,6.77,1.02,53.09
2000,29,-21.07,-15.61,-27.31,51.59,0.32,5.5,10.21,0.35,53.18
2000,30,-25.09,-17.64,-31.72,54.45,0.01,7.59,11.33,5.8,53.34
2000,31,-20.12,-11.1,-28.5,70.97,0.5,6.37,9.63,3.89,53.16
2000,32,-19.59,-13.23,-24.31,77.78,0.63,5.65,8.78,3.52,52.86
2000,33,-20.08,-13.13,-26.18,77.17,0.46,6.3,8.9,4.04,52.85
2000,34,-20.94,-14.96,-28.11,64.0,0.02,6.94,9.99,4.55,53.05
2000,35,-20.73,-14.52,-25.91,60.5,0.17,6.08,12.01,2.85,53.06
2000,36,-21.2,-13.85,-27.91,64.56,0.33,5.26,8.98,3.0,53.12
2000,37,-17.89,-12.62,-22.89,73.35,0.81,5.7,8.97,2.73,53.11
2000,38,-18.56,-12.45,-24.51,74.07,0.3,4.52,7.82,2.5,53.01
2000,39,-18.95,-10.85,-26.75,61.62,0.01,5.62,8.64,3.06,52.96
2000,40,-19.37,-12.15,-25.92,53.2,0.05,5.96,9.87,3.09,52.81
2000,41,-19.02,-12.41,-27.14,54.03,0.0,7.13,10.22,4.16,52.91
2000,42,-16.96,-11.91,-22.73,65.05,0.0,6.96,11.36,4.19,52.87
2000,43,-17.39,-14.31,-20.22,61.32,0.0,8.91,13.76,4.88,52.85
2000,44,-17.4,-11.52,-21.81,60.85,0.0,7.53,12.67,2.09,53.0
2000,45,-19.05,-13.72,-24.86,60.56,0.0,5.9,9.49,2.69,53.08
2000,46,-19.74,-10.9,-27.89,57.64,0.0,6.87,11.47,3.67,53.29
2000,47,-15.9,-9.35,-21.43,60.44,0.23,8.84,12.56,6.68,53.07
2000,48,-19.05,-14.47,-24.38,65.5,0.08,6.87,11.13,2.25,52.68
2000,49,-20.59,-16.3,-24.86,70.81,0.02,5.5,9.74,2.6,52.53
2000,50,-21.77,-17.24,-26.66,65.18,0.0,5.53,10.23,2.79,52.56
2000,51,-22.07,-17.07,-26.74,57.92,0.0,6.73,11.93,2.91,52.53
2000,52,-21.0,-15.93,-27.92,54.76,0.0,9.93,14.95,5.63,52.58
2000,53,-18.89,-12.49,-24.3,45.11,0.0,10.82,15.74,6.48,52.73
2000,54,-20.0,-14.12,-25.59,48.54,0.0,8.91,14.44,3.77,52.83
2000,55,-21.28,-15.01,-27.24,49.29,0.0,5.78,10.56,2.34,53.02
2000,56,-19.62,-11.97,-25.61,42.85,0.0,4.38,9.64,0.89,52.92
2000,57,-19.03,-12.2,-25.22,42.32,0.0,3.5,7.98,0.4,52.71
2000,58,-20.71,-13.3,-28.23,37.34,0.0,6.6,11.18,3.3,52.84
2000,59,-18.82,-11.11,-28.11,45.84,0.0,4.63,6.11,3.27,53.1
2000,60,-16.92,-10.13,-25.29,53.96,0.39,7.25,12.0,2.99,53.12
2000,61,-15.75,-11.62,-19.54,68.15,0.21,4.62,6.8,0.58,52.87
2000,62,-16.94,-12.48,-21.77,67.43,0.74,4.34,7.2,0.86,52.87
2000,63,-18.25,-12.15,-24.13,56.71,0.28,7.55,13.99,3.35,52.84
2000,64,-17.86,-9.04,-26.64,50.31,0.0,6.57,11.9,3.52,53.18
2000,65,-16.21,-10.04,-21.75,55.1,0.0,7.06,11.02,3.99,53.14
2000,66,-14.91,-8.11,-20.47,54.57,0.0,7.32,11.46,4.54,53.21
2000,67,-14.73,-6.83,-22.86,40.74,0.0,8.64,13.46,4.01,53.15
2000,68,-15.86,-10.91,-20.87,59.79,0.27,6.2,9.07,2.66,53.01
2000,69,-16.46,-11.55,-22.67,66.17,0.04,2.25,4.73,0.8,52.97
2000,70,-16.84,-11.28,-23.06,52.11,0.0,5.45,9.65,2.12,52.97
2000,71,-16.96,-10.48,-24.9,42.28,0.02,4.84,7.44,3.46,52.98
2000,72,-15.06,-9.08,-20.35,62.28,0.54,6.51,10.15,2.99,52.82
2000,73,-16.13,-9.51,-23.61,57.88,0.15,7.0,9.41,4.95,52.87
2000,74,-15.4,-8.69,-23.2,59.0,0.06,4.79,7.73,2.36,53.2
2000,75,-14.72,-9.13,-22.04,58.76,0.15,4.19,5.36,1.94,53.19
2000,76,-13.45,-7.43,-20.96,48.86,0.03,5.3,8.37,2.07,53.0
2000,77,-13.64,-7.57,-21.21,48.74,0.02,6.63,8.85,2.73,52.93
2000,78,-14.4,-7.33,-22.52,41.75,0.0,7.79,12.94,4.64,53.03
2000,79,-14.53,-10.55,-19.59,53.19,0.0,9.19,14.77,3.03,52.98
2000,80,-16.2,-9.86,-23.7,47.31,0.0,6.6,10.92,2.72,53.15
2000,81,-14.33,-7.79,-22.59,47.21,0.0,9.03,13.64,5.23,53.27
2000,82,-12.35,-7.16,-18.11,62.15,0.06,5.97,11.69,2.6,53.51
2000,83,-11.2,-4.92,-16.9,57.45,0.01,7.67,11.71,2.71,53.6
2000,84,-11.74,-6.99,-16.92,65.85,0.72,9.63,12.64,2.89,53.32
2000,85,-16.2,-11.37,-20.99,58.41,0.06,3.39,5.63,1.44,53.92
2000,86,-13.3,-4.69,-22.57,29.7,0.0,2.74,4.06,0.89,54.33
2000,87,-10.34,-1.77,-19.97,37.74,0.0,3.23,4.07,1.49,54.33
2000,88,-7.75,-1.09,-15.36,38.44,0.0,1.92,2.93,0.83,54.19
2000,89,-6.33,0.2,-15.65,49.7,0.0,3.26,5.16,2.0,54.1
2000,90,-4.82,3.09,-13.9,39.16,0.0,6.97,9.65,3.6,53.93
2000,91,-4.91,1.53,-11.71,34.87,0.0,9.94,13.65,5.82,53.8
2000,92,-6.26,-0.34,-12.31,36.98,0.02,8.93,13.05,3.05,53.64
2000,93,-8.67,-4.38,-11.97,56.74,0.26,3.24,8.0,0.2,53.59
2000,94,-8.86,-2.82,-17.36,57.14,0.13,4.8,9.01,2.09,53.59
2000,95,-8.87,-3.97,-13.41,56.47,1.04,4.53,10.9,1.21,53.45
2000,96,-8.86,-3.25,-13.95,52.4,0.45,3.3,7.03,0.9,53.38
2000,97,-10.22,-3.84,-15.72,56.6,0.49,5.88,13.18,1.03,53.48
2000,98,-8.71,-0.63,-16.52,38.9,0.0,7.79,15.89,0.74,53.61
2000,99,-8.38,-2.71,-13.56,50.59,0.0,5.06,8.98,2.06,53.72
2000,100,-10.19,-5.11,-17.0,68.1,0.01,4.94,7.89,2.47,53.65
2000,101,-10.09,-4.48,-14.84,51.18,0.0,5.77,8.1,0.96,53.79
2000,102,-8.71,-2.17,-17.91,33.6,0.0,5.64,9.5,0.27,53.9
2000,103,-7.15,0.0,-14.18,40.23,0.0,9.04,13.6,3.68,53.9
2000,104,-8.32,-0.12,-17.68,43.55,0.0,7.87,11.75,3.48,53.9
2000,105,-6.39,1.5,-16.2,31.16,0.0,4.9,7.91,2.65,53.91
2000,106,-4.48,3.63,-14.53,39.9,0.03,6.02,8.79,3.89,53.9
2000,107,-3.27,1.48,-6.94,55.1,0.23,6.82,9.6,3.7,53.65
2000,108,-5.48,0.05,-10.63,39.88,0.04,5.25,8.71,2.77,53.82
2000,109,-5.16,0.93,-13.39,38.87,0.0,6.35,8.53,3.83,53.87
2000,110,-5.02,0.23,-9.42,40.34,0.0,8.7,12.26,2.01,54.02
2000,111,-4.89,1.09,-12.44,51.2,0.07,5.31,10.18,2.47,53.89
2000,112,-4.29,2.04,-12.11,43.77,0.04,5.14,7.6,2.46,53.89
2000,113,-3.1,3.3,-8.14,38.72,0.16,7.11,9.88,2.8,53.84
2000,114,-2.31,4.1,-9.05,42.04,0.02,5.03,7.9,1.59,53.81
2000,115,-4.17,-0.08,-6.78,56.56,1.18,4.02,6.96,1.84,53.59
2000,116,-6.4,-2.7,-10.95,58.19,2.36,5.2,7.11,2.1,53.58
2000,117,-6.16,-1.08,-13.66,56.88,0.62,6.48,8.21,3.71,53.67
2000,118,-6.47,-1.02,-13.53,60.15,0.09,3.09,4.65,0.68,53.67
2000,119,-4.82,0.0,-10.84,56.64,0.2,4.14,8.05,0.59,53.65
2000,120,-3.62,1.51,-8.25,53.24,0.25,8.36,12.87,3.84,53.51
2000,121,-5.64,-0.27,-12.03,53.54,2.53,6.07,9.23,2.45,53.69
2000,122,-8.2,-2.9,-13.88,52.27,1.58,4.66,6.52,2.43,54.04
2000,123,-7.3,-0.51,-15.41,46.5,0.03,3.02,6.73,0.24,54.34
2000,124,-4.09,3.13,-14.42,35.66,0.0,3.9,6.28,1.28,54.39
2000,125,-0.97,5.31,-5.51,38.65,0.0,3.83,6.15,1.59,54.39
2000,126,0.05,8.2,-5.94,34.25,0.06,6.18,7.88,4.43,54.34
2000,127,0.92,8.88,-6.1,45.8,0.35,6.63,10.89,1.4,54.12
2000,128,-2.78,1.4,-7.41,59.76,0.89,6.07,8.32,1.53,54.21
2000,129,-2.22,4.96,-9.23,37.6,0.0,4.08,6.6,1.45,54.42
2000,130,-0.36,6.78,-7.98,32.23,0.0,3.61,6.6,0.9,54.39
2000,131,-0.17,6.81,-6.59,38.06,0.0,5.57,11.51,0.91,54.43
2000,132,-0.24,6.68,-7.25,38.56,0.0,3.49,6.42,0.77,54.5
2000,133,2.32,10.46,-5.46,33.34,0.0,5.18,7.54,3.45,54.34
2000,134,2.44,9.88,-5.33,45.73,0.0,3.51,6.54,1.77,54.26
2000,135,3.02,12.33,-5.5,51.61,0.37,6.04,11.98,0.75,54.1
2000,136,1.25,8.46,-6.19,57.29,0.15,3.19,5.24,1.49,54.21
2000,137,0.7,7.27,-6.33,62.05,4.5,4.79,7.22,1.61,54.12
2000,138,-2.42,4.4,-8.43,63.27,0.91,4.89,6.83,1.02,54.13
2000,139,-0.35,7.73,-8.08,46.01,0.33,3.05,4.88,1.54,54.15
2000,140,0.03,5.23,-6.92,56.45,0.0,2.07,3.37,0.38,54.11
2000,141,1.73,8.54,-5.46,65.54,7.58,4.21,7.45,1.26,53.97
2000,142,-2.39,4.59,-9.05,61.23,1.64,5.68,8.33,2.98,54.03
2000,143,-1.54,4.63,-7.94,56.36,1.79,2.95,4.8,1.4,54.14
2000,144,0.47,8.2,-6.77,48.56,0.04,3.03,4.82,1.32,54.08
2000,145,1.72,8.17,-4.87,46.1,3.32,6.69,10.88,2.48,53.87
2000,146,-0.41,5.82,-6.66,60.23,0.75,3.82,6.57,1.0,53.86
2000,147,0.62,7.9,-6.51,59.44,2.56,7.13,11.71,3.35,53.72
2000,148,-0.69,6.66,-8.13,54.72,5.16,6.12,10.1,2.13,53.87
2000,149,-1.04,6.42,-7.99,51.55,1.55,5.52,9.59,1.35,54.04
2000,150,-0.84,7.43,-8.26,41.48,0.0,5.18,7.14,2.84,54.2
2000,151,1.99,9.39,-6.66,44.15,2.68,6.16,9.6,2.7,54.09
2000,152,1.74,7.16,-4.21,63.43,2.03,4.55,7.25,2.84,53.85
2000,153,1.78,8.52,-5.7,55.13,1.86,5.03,9.87,0.28,53.76
2000,154,2.61,9.58,-5.61,49.74,0.15,5.28,9.07,0.23,54.06
2000,155,4.47,12.05,-4.14,48.79,0.37,4.82,7.43,1.53,54.19
2000,156,5.88,14.29,-1.7,57.55,2.19,7.49,11.17,4.12,54.06
2000,157,5.81,14.1,-3.38,45.3,0.22,6.48,9.26,3.64,54.06
2000,158,6.19,14.18,-1.31,54.07,4.97,5.92,10.13,0.98,54.08
2000,159,3.04,8.74,-3.27,73.97,8.56,3.92,7.45,1.58,54.15
2000,160,5.81,13.6,-2.15,68.38,8.56,7.05,10.49,1.15,53.99
2000,161,7.52,14.86,-0.04,64.14,1.22,8.46,11.12,4.5,53.93
2000,162,7.75,15.09,1.02,62.12,5.77,7.28,9.99,3.21,53.87
2000,163,6.72,14.42,-0.01,56.27,3.46,5.84,9.26,2.83,53.89
2000,164,5.12,13.43,-3.02,56.54,1.29,4.28,7.03,0.51,53.96
2000,165,1.74,9.97,-5.69,44.09,0.02,4.23,5.76,2.75,54.23
2000,166,3.61,13.26,-6.89,35.37,0.0,4.12,6.45,2.69,54.19
2000,167,3.55,13.94,-6.62,36.84,0.0,3.99,7.36,1.66,54.21
2000,168,5.08,15.34,-6.18,35.32,0.0,3.96,6.63,0.71,54.19
2000,169,5.03,14.93,-6.47,40.24,0.0,4.0,7.22,2.18,54.24
2000,170,4.89,14.24,-5.88,47.71,0.0,2.34,4.74,0.49,54.29
2000,171,6.36,15.25,-4.01,54.18,0.0,3.45,6.11,1.19,54.24
2000,172,4.63,12.96,-3.2,67.4,2.19,3.22,4.89,1.66,54.16
2000,173,5.09,13.04,-0.84,71.68,8.45,2.89,7.2,1.12,54.01
2000,174,6.52,15.51,-3.54,60.97,2.55,3.62,6.7,0.58,53.82
2000,175,6.9,15.24,-0.1,60.67,1.97,5.16,8.06,1.65,53.81
2000,176,3.45,11.17,-3.95,68.45,4.23,4.48,7.43,2.74,53.9
2000,177,3.09,11.46,-5.11,65.75,1.99,4.51,7.25,0.98,54.01
2000,178,3.34,11.84,-4.84,55.92,1.29,4.09,7.0,1.92,54.16
2000,179,2.89,12.05,-6.43,45.87,0.07,4.87,8.82,0.29,54.32
2000,180,5.36,14.51,-4.19,33.12,0.0,3.74,6.07,1.89,54.41
2000,181,6.12,14.76,-5.11,49.43,2.54,3.46,5.04,1.65,54.3
2000,182,4.16,12.11,-2.6,68.76,0.97,4.64,6.76,2.18,54.15
2000,183,6.05,14.64,-3.05,63.4,3.41,2.53,3.69,1.21,54.05
2000,184,5.49,12.84,-3.26,64.53,9.34,3.59,6.66,0.61,54.03
2000,185,7.57,15.78,-2.31,57.95,13.65,3.77,5.74,0.88,54.07
2000,186,6.84,14.86,0.29,67.03,7.13,3.72,4.81,2.06,54.19
2000,187,6.23,14.35,-0.72,67.86,2.38,2.61,4.93,0.28,54.25
2000,188,6.06,13.94,-1.98,64.97,1.8,2.96,4.7,1.47,54.27
2000,189,6.01,12.99,-1.26,66.13,0.91,3.09,5.19,0.42,54.24
2000,190,4.92,12.91,-1.99,66.47,0.73,6.04,8.18,3.55,54.15
2000,191,2.6,12.06,-4.33,70.91,5.3,8.46,12.44,6.84,54.03
2000,192,2.05,10.18,-5.96,69.92,7.37,6.97,11.26,5.34,53.97
2000,193,4.83,12.97,-4.62,62.87,0.35,2.76,5.13,1.65,54.19
2000,194,6.39,14.02,0.02,67.9,1.23,4.37,5.93,2.39,54.21
2000,195,6.73,15.03,-1.68,56.41,0.5,4.24,5.8,2.0,54.3
2000,196,6.97,16.32,-4.01,47.69,0.2,4.25,5.45,3.2,54.22
2000,197,8.12,15.5,0.43,62.82,4.04,4.65,5.74,3.13,54.09
2000,198,8.17,15.02,2.48,69.72,8.67,6.04,10.14,1.97,54.07
2000,199,7.87,15.63,2.04,73.67,13.09,5.29,7.48,3.54,54.06
2000,200,8.57,15.9,2.07,67.35,2.21,5.28,7.5,2.02,54.1
2000,201,8.95,16.29,1.77,64.48,3.03,3.01,5.0,0.98,54.22
2000,202,9.59,17.73,2.96,62.89,2.08,4.82,8.35,1.96,54.33
2000,203,8.05,16.77,-0.64,60.65,0.54,5.41,9.09,2.56,54.44
2000,204,7.72,16.11,-2.17,62.02,0.03,3.8,5.3,2.61,54.44
2000,205,9.58,18.02,0.31,58.89,0.09,3.53,4.94,2.35,54.32
2000,206,10.29,19.01,0.98,54.0,0.1,4.34,6.31,2.59,54.25
2000,207,8.54,14.48,1.91,68.2,0.04,3.52,5.89,0.74,54.34
2000,208,8.13,15.7,0.53,68.05,0.44,2.14,4.15,0.2,54.34
2000,209,8.5,15.88,0.8,66.86,6.05,2.85,4.77,0.91,54.31
2000,210,7.87,16.54,0.41,67.39,0.3,3.46,8.11,0.42,54.37
2000,211,3.63,11.22,-1.86,64.32,1.19,5.27,7.12,2.86,54.51
2000,212,6.6,16.12,-5.98,44.11,0.06,2.36,3.86,0.47,54.33
2000,213,5.62,14.34,-2.08,48.65,1.03,4.8,6.82,2.59,54.11
2000,214,3.33,11.49,-5.37,65.49,2.8,3.17,6.03,0.92,53.9
2000,215,5.44,12.97,-1.25,67.16,3.03,4.96,8.2,1.22,53.72
2000,216,4.54,12.49,-3.94,65.93,1.55,5.87,9.96,2.87,53.82
2000,217,3.23,11.76,-4.81,68.62,2.15,4.23,7.85,1.17,54.12
2000,218,4.11,11.89,-4.59,60.44,0.67,2.96,5.44,0.77,54.35
2000,219,3.51,12.12,-3.9,53.83,0.63,3.46,5.06,2.44,54.48
2000,220,3.32,12.9,-6.83,51.81,0.0,3.0,4.29,0.83,54.54
2000,221,3.45,10.46,-4.93,60.62,0.0,2.93,4.68,0.84,54.5
2000,222,4.11,11.81,-2.65,68.41,5.02,2.43,4.81,0.63,54.35
