YEAR,DOY,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN,PS,AQI,LOC
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,444.0,0.0
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,421.0,0.9999999999999996
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,400.0,1.9999999999999991
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,394.0,2.999999999999999
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,411.0,3.9999999999999982
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,350.0,5.0
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,393.0,6.0
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,452.00000000000006,7.0
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,404.0,7.999999999999999
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,342.0,8.999999999999998
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,385.0,11.000000000000002
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,427.0,12.0
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,380.0,10.0
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,401.0,12.999999999999998
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,402.0,14.0
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,400.0,15.000000000000002
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,436.0,16.0
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,405.0,17.0
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,408.0,18.000000000000004
2019.0,1.0,-20.71,-13.23,-26.53,70.32,0.0,5.519999999999999,9.86,3.31,53.59,437.0,19.0
2019.0,1.9999999999999778,-19.43,-11.080000000000004,-26.750000000000004,68.07,0.0,6.51,10.88,4.65,53.31,451.0,0.0
2019.0,1.9999999999999778,-19.43,-11.080000000000004,-26.750000000000004,68.07,0.0,6.51,10.88,4.65,53.31,456.00000000000006,0.9999999999999996
2019.0,1.9999999999999778,-19.43,-11.080000000000004,-26.750000000000004,68.07,0.0,6.51,10.88,4.65,53.31,440.0,1.9999999999999991
2019.0,1.9999999999999778,-19.43,-11.080000000000004,-26.750000000000004,68.07,0.0,6.51,10.88,4.65,53.31,432.0,3.9999999999999982
2019.0,1.9999999999999778,-19.43,-11.080000000000004,-26.750000000000004,68.07,0.0,6.51,10.88,4.65,53.31,426.0,6.0
2019.0,1.9999999999999778,-19.43,-11.080000000000004,-26.750000000000004,68.07,0.0,6.51,10.88,4.65,53.31,444.0,7.0
2019.0,1.9999999999999778,-19.43,-11.080000000000004,-26.750000000000004,68.07,0.0,6.51,10.88,4.65,53.31,429.0,7.999999999999999
2019.0,1.9999999999999778,-19.43,-11.080000000000004,-26.750000000000004,68.07,0.0,6.51,10.88,4.65,53.31,442.0,11.000000000000002
2019.0,1.9999999999999778,-19.43,-11.080000000000004,-26.750000000000004,68.07,0.0,6.51,10.88,4.65,53.31,378.0,10.0
2019.0,1.9999999999999778,-19.43,-11.080000000000004,-26.750000000000004,68.07,0.0,6.51,10.88,4.65,53.31,437.0,12.999999999999998
2019.0,1.9999999999999778,-19.43,-11.080000000000004,-26.750000000000004,68.07,0.0,6.51,10.88,4.65,53.31,441.0,14.0
2019.0,1.9999999999999778,-19.43,-11.080000000000004,-26.750000000000004,68.07,0.0,6.51,10.88,4.65,53.31,430.0,15.000000000000002
2019.0,1.9999999999999778,-19.43,-11.080000000000004,-26.750000000000004,68.07,0.0,6.51,10.88,4.65,53.31,460.0,16.0
2019.0,1.9999999999999778,-19.43,-11.080000000000004,-26.750000000000004,68.07,0.0,6.51,10.88,4.65,53.31,430.0,17.0
2019.0,1.9999999999999778,-19.43,-11.080000000000004,-26.750000000000004,68.07,0.0,6.51,10.88,4.65,53.31,446.0,18.000000000000004
2019.0,1.9999999999999778,-19.43,-11.080000000000004,-26.750000000000004,68.07,0.0,6.51,10.88,4.65,53.31,463.99999999999994,19.0
2019.0,2.999999999999993,-20.010000000000005,-15.550000000000006,-23.560000000000002,80.85,0.4299999999999999,5.24,7.009999999999999,3.15,53.02,470.99999999999994,0.9999999999999996
2019.0,2.999999999999993,-20.010000000000005,-15.550000000000006,-23.560000000000002,80.85,0.4299999999999999,5.24,7.009999999999999,3.15,53.02,421.0,1.9999999999999991
2019.0,2.999999999999993,-20.010000000000005,-15.550000000000006,-23.560000000000002,80.85,0.4299999999999999,5.24,7.009999999999999,3.15,53.02,463.0,2.999999999999999
2019.0,2.999999999999993,-20.010000000000005,-15.550000000000006,-23.560000000000002,80.85,0.4299999999999999,5.24,7.009999999999999,3.15,53.02,451.0,3.9999999999999982
2019.0,2.999999999999993,-20.010000000000005,-15.550000000000006,-23.560000000000002,80.85,0.4299999999999999,5.24,7.009999999999999,3.15,53.02,425.0,5.0
2019.0,2.999999999999993,-20.010000000000005,-15.550000000000006,-23.560000000000002,80.85,0.4299999999999999,5.24,7.009999999999999,3.15,53.02,453.99999999999994,6.0
2019.0,2.999999999999993,-20.010000000000005,-15.550000000000006,-23.560000000000002,80.85,0.4299999999999999,5.24,7.009999999999999,3.15,53.02,473.0,7.0
2019.0,2.999999999999993,-20.010000000000005,-15.550000000000006,-23.560000000000002,80.85,0.4299999999999999,5.24,7.009999999999999,3.15,53.02,456.00000000000006,7.999999999999999
2019.0,2.999999999999993,-20.010000000000005,-15.550000000000006,-23.560000000000002,80.85,0.4299999999999999,5.24,7.009999999999999,3.15,53.02,413.0,8.999999999999998
2019.0,2.999999999999993,-20.010000000000005,-15.550000000000006,-23.560000000000002,80.85,0.4299999999999999,5.24,7.009999999999999,3.15,53.02,443.0,11.000000000000002
2019.0,2.999999999999993,-20.010000000000005,-15.550000000000006,-23.560000000000002,80.85,0.4299999999999999,5.24,7.009999999999999,3.15,53.02,474.0,12.0
2019.0,2.999999999999993,-20.010000000000005,-15.550000000000006,-23.560000000000002,80.85,0.4299999999999999,5.24,7.009999999999999,3.15,53.02,429.0,10.0
2019.0,2.999999999999993,-20.010000000000005,-15.550000000000006,-23.560000000000002,80.85,0.4299999999999999,5.24,7.009999999999999,3.15,53.02,459.00000000000006,12.999999999999998
2019.0,2.999999999999993,-20.010000000000005,-15.550000000000006,-23.560000000000002,80.85,0.4299999999999999,5.24,7.009999999999999,3.15,53.02,450.0,14.0
2019.0,2.999999999999993,-20.010000000000005,-15.550000000000006,-23.560000000000002,80.85,0.4299999999999999,5.24,7.009999999999999,3.15,53.02,457.0,15.000000000000002
2019.0,2.999999999999993,-20.010000000000005,-15.550000000000006,-23.560000000000002,80.85,0.4299999999999999,5.24,7.009999999999999,3.15,53.02,474.0,16.0
