T2M,PRECTOTCORR,WS10M,PS,AQI,Location,hasSprinkler,isIndustrial,policy_suggestion
35.99,4.75,4.66,99.2,279,3,0,0,2
4.5,0.58,3.53,102.2,383,7,0,1,10
30.33,4.85,5.16,98.42,370,4,0,0,6
32.93,1.52,3.62,98.86,194,17,1,0,0
24.18,0.7,1.23,100.73,455,18,0,0,3
39.89,1.91,5.92,98.93,176,0,0,0,1
4.73,0.65,3.82,102.93,468,6,0,0,10
34.87,0.49,4.42,98.88,361,16,0,0,6
22.43,0.17,2.77,100.52,326,6,0,0,2
28.12,44.01,9.56,99.37,190,14,0,0,8
21.75,1.98,2.82,101.45,241,5,1,0,2
11.13,5.21,3.86,102.69,423,8,1,0,3
38.64,2.93,5.83,99.21,248,10,0,1,4
27.03,0.37,2.97,101.54,500,2,0,1,3
25.06,66.16,11.48,100.46,110,11,1,0,12
16.11,1.79,0.79,101.73,302,1,0,0,6
19.96,0.32,1.28,100.65,361,3,0,0,2
31.38,71.54,8.67,99.24,150,17,1,0,12
13.55,2.36,1.4,101.08,390,18,0,0,6
31.77,2.2,2.01,99.79,262,2,0,1,4
31.96,15.45,10.25,100.08,143,7,0,1,1
17.09,5.99,2.93,102.76,443,2,0,1,3
27.96,12.91,8.48,99.44,132,12,0,0,1
33.83,29.33,4.47,99.71,204,14,0,0,1
31.48,5.04,7.23,99.61,192,11,1,0,0
31.92,25.21,5.93,99.34,138,6,0,0,1
13.25,3.64,3.9,102.92,500,2,0,1,3
25.68,0.74,2.99,100.53,222,5,1,0,2
8.58,0.33,1.71,102.27,296,8,1,0,2
10.49,4.48,2.44,102.19,427,1,0,0,3
18.56,3.64,1.42,101.26,498,10,0,1,5
10.57,0.9,3.42,101.64,500,2,0,1,5
19.89,1.1,2.28,101.62,398,6,0,0,3
3.54,9.41,1.89,102.04,308,14,0,0,10
7.46,1.13,3.74,102.75,274,8,1,0,1
31.6,66.29,9.66,100.06,21,17,1,0,12
16.4,4.49,2.75,101.27,268,18,0,0,2
7.59,7.26,3.64,102.77,381,7,0,1,6
40.27,0.42,1.81,99.8,297,2,0,1,4
7.96,9.4,3.91,101.57,416,3,0,0,3
37.17,4.97,1.88,98.04,341,13,0,1,6
17.68,1.83,2.36,101.44,379,12,0,0,6
38.68,2.54,4.18,98.5,314,8,1,0,6
34.79,41.51,13.87,99.87,69,3,0,0,9
31.45,55.17,13.37,99.46,85,3,0,0,12
23.58,3.84,0.61,101.99,405,5,1,0,3
6.47,8.83,3.12,102.91,380,8,1,0,6
34.64,68.98,6.53,99.77,103,3,0,0,8
30.57,75.21,11.35,100.14,92,4,0,0,11
39.84,4.95,1.7,99.04,274,17,1,0,2
41.85,3.49,4.51,98.72,343,15,0,0,2
29.2,24.22,10.34,99.16,210,11,1,0,1
12.05,1.94,0.75,101.79,322,1,0,0,6
44.19,0.14,3.89,98.88,391,2,0,1,7
35.25,0.78,5.91,99.68,198,15,0,0,1
6.0,0.39,1.56,102.07,302,17,1,0,2
15.25,2.72,3.88,101.91,475,15,0,0,5
17.92,2.06,2.25,100.28,375,16,0,0,2
17.51,7.15,0.64,101.8,471,17,1,0,5
32.44,23.81,5.21,99.16,154,12,0,0,1
25.33,0.29,2.79,100.88,368,14,0,0,2
13.43,6.6,1.48,102.91,425,7,0,1,3
39.79,2.1,2.24,98.71,321,10,0,1,4
7.47,0.92,0.83,101.62,388,18,0,0,2
31.57,2.46,3.37,98.35,302,2,0,1,4
30.77,4.75,5.43,98.52,374,2,0,1,6
16.93,5.01,2.39,102.37,268,2,0,1,4
29.16,4.72,2.67,101.27,326,8,1,0,2
12.83,5.73,0.95,102.62,281,17,1,0,2
20.79,4.81,2.76,100.39,431,7,0,1,5
31.61,0.09,1.47,99.37,225,6,0,0,1
28.19,68.37,3.28,100.63,190,13,0,1,9
16.77,3.48,2.07,101.75,467,13,0,1,3
42.86,1.41,1.89,99.5,345,3,0,0,7
34.91,35.95,7.46,100.55,67,12,0,0,8
8.86,7.51,3.14,101.21,500,7,0,1,3
22.58,4.13,1.3,101.79,431,17,1,0,3
2.17,9.05,0.82,101.64,465,13,0,1,10
29.26,2.87,2.08,100.9,329,8,1,0,2
19.93,3.36,2.38,101.58,374,2,0,1,4
31.46,2.47,1.29,99.1,286,1,0,0,1
16.2,3.51,0.91,101.29,360,7,0,1,6
24.27,0.51,0.71,101.4,397,15,0,0,2
43.15,3.53,1.41,98.17,209,12,0,0,7
20.61,1.85,2.53,101.89,480,5,1,0,3
32.53,33.22,4.0,100.55,119,12,0,0,9
28.6,0.56,1.73,100.02,496,9,1,0,5
13.86,7.67,3.38,102.49,415,4,0,0,5
36.0,1.43,5.34,98.45,310,6,0,0,6
30.19,4.85,1.22,99.78,257,17,1,0,2
45.89,0.37,3.77,99.94,311,1,0,0,7
24.44,3.48,1.64,101.26,339,18,0,0,6
16.42,0.45,1.48,102.9,377,16,0,0,2
34.44,0.94,3.32,98.71,324,16,0,0,2
31.24,4.87,5.93,99.4,332,2,0,1,4
34.95,4.07,4.42,98.33,199,12,0,0,1
15.16,9.5,3.04,102.23,234,18,0,0,1
44.03,2.76,1.82,98.82,297,19,0,1,7
29.8,78.9,7.52,100.5,223,13,0,1,9
33.42,67.87,8.62,99.83,168,6,0,0,11
15.85,4.32,2.53,102.0,323,8,1,0,2
23.33,3.84,2.86,101.7,384,9,1,0,3
37.21,0.65,5.77,99.21,369,2,0,1,6
40.75,3.09,2.79,98.23,390,19,0,1,4
10.32,7.72,2.32,102.7,266,17,1,0,2
30.61,70.75,7.84,99.27,88,4,0,0,8
32.55,51.52,11.45,99.43,166,7,0,1,12
23.85,1.96,1.59,101.81,327,5,1,0,6
38.22,3.92,2.98,99.24,186,9,1,0,0
34.5,16.03,14.12,99.98,126,17,1,0,0
2.73,6.21,1.72,101.42,259,3,0,0,10
35.47,2.69,3.3,99.17,252,8,1,0,1
12.25,1.82,1.71,102.79,390,17,1,0,3
12.68,1.72,1.17,101.08,191,9,1,0,0
6.46,1.77,0.81,101.24,473,10,0,1,5
18.1,1.82,1.76,101.38,317,16,0,0,3
42.79,3.14,1.41,99.75,229,1,0,0,7
25.61,25.77,12.67,100.5,181,13,0,1,1
37.75,3.09,2.84,98.93,253,1,0,0,2
25.37,23.93,11.56,100.79,172,4,0,0,1
15.46,4.34,1.39,100.79,435,5,1,0,5
41.8,0.91,3.82,99.68,230,17,1,0,1
10.57,2.33,1.7,101.95,336,2,0,1,4
9.98,0.87,2.38,102.17,472,11,1,0,5
36.91,0.64,2.42,98.73,178,4,0,0,1
27.44,42.37,6.96,100.87,189,9,1,0,8
4.45,2.46,1.06,101.37,287,11,1,0,10
44.35,0.4,3.62,98.82,238,7,0,1,7
16.68,1.99,2.92,101.73,406,11,1,0,3
6.13,1.71,2.84,102.86,439,7,0,1,3
37.63,4.19,2.03,99.94,265,13,0,1,4
27.0,60.22,9.36,100.41,198,5,1,0,12
30.81,16.58,8.77,100.07,262,7,0,1,4
37.27,2.74,3.74,98.4,288,5,1,0,2
16.32,0.69,0.51,100.23,385,1,0,0,2
24.09,3.97,0.77,101.7,450,6,0,0,5
8.54,9.33,3.97,101.41,204,9,1,0,1
13.86,5.74,3.45,101.28,411,0,0,0,5
33.0,66.88,5.24,99.47,182,10,0,1,8
34.08,28.71,10.06,100.37,129,8,1,0,0
25.71,4.5,2.06,101.08,296,16,0,0,2
39.24,1.78,2.96,99.06,211,0,0,0,2
27.29,45.71,8.18,99.67,112,5,1,0,8
26.91,3.1,1.83,101.79,411,3,0,0,5
17.28,1.56,1.12,101.49,496,10,0,1,3
13.43,4.94,3.14,101.21,374,12,0,0,3
27.7,0.64,1.49,101.59,252,1,0,0,1
5.67,7.22,3.02,102.28,447,16,0,0,5
38.68,1.26,2.73,98.36,292,13,0,1,4
30.83,35.06,8.54,100.89,244,10,0,1,8
30.86,42.94,10.34,99.04,121,9,1,0,9
28.98,2.83,2.24,101.84,392,10,0,1,6
14.34,3.74,0.74,101.15,500,17,1,0,3
28.88,2.25,0.78,101.97,424,13,0,1,3
26.25,74.06,13.44,100.04,242,19,0,1,12
36.07,3.72,2.03,99.58,313,17,1,0,3
3.83,4.15,3.52,102.85,405,9,1,0,10
32.38,38.92,5.7,99.9,110,13,0,1,9
17.48,0.17,1.28,101.56,475,14,0,0,3
18.3,1.06,1.79,101.95,372,16,0,0,6
38.92,4.3,3.68,98.37,190,5,1,0,0
28.1,34.8,8.12,100.6,112,9,1,0,8
29.68,51.87,7.53,100.67,115,7,0,1,8
6.7,7.14,2.35,102.07,331,6,0,0,2
9.95,7.65,0.86,101.67,262,1,0,0,2
42.05,1.36,5.49,99.05,320,19,0,1,7
17.34,3.58,2.15,100.05,468,14,0,0,3
18.47,3.36,0.55,100.21,494,12,0,0,5
4.86,6.53,1.33,101.2,348,7,0,1,10
41.56,4.28,5.15,98.79,337,0,0,0,3
5.28,2.93,3.64,101.03,500,7,0,1,5
5.33,0.27,1.14,102.17,374,1,0,0,2
16.28,8.17,1.7,101.52,386,14,0,0,3
25.34,67.3,7.14,100.55,189,16,0,0,9
27.92,1.1,2.94,101.56,369,19,0,1,6
23.49,4.93,1.68,100.36,383,5,1,0,3
10.2,7.42,2.95,101.81,423,8,1,0,5
24.68,2.11,0.83,101.8,339,16,0,0,6
31.83,66.69,9.36,100.63,157,7,0,1,12
25.67,35.39,8.97,100.44,237,2,0,1,8
26.4,24.78,6.2,100.46,128,8,1,0,0
40.13,2.47,3.87,99.68,426,10,0,1,3
8.75,3.54,3.86,101.37,385,4,0,0,3
14.34,0.68,3.43,101.87,381,4,0,0,2
25.82,3.05,2.87,100.79,484,13,0,1,5
17.03,2.42,1.17,101.08,464,17,1,0,5
15.46,8.46,3.84,101.31,395,1,0,0,3
37.59,1.72,2.76,98.83,222,12,0,0,2
39.57,2.3,1.38,98.16,270,15,0,0,2
29.52,0.03,0.76,100.63,464,9,1,0,5
